title,remix,genre,artist,link,release,price
Big Love,David Penn Extended Remix,House,Pete Heller's Big Love,https:/www.beatport.com/artist/pete-hellers-big-love/203551,2019-07-05,1.99
The General,Original Mix,Tech House,Mark Knight,https:/www.beatport.com/artist/mark-knight/1938,2019-06-21,2.49
You Little Beauty,Extended,Tech House,FISHER (OZ),https:/www.beatport.com/artist/fisher-oz/628537,2019-05-10,2.49
Space Date,Pleasurekraft Remix,Techno,Adam Beyer,https:/www.beatport.com/artist/adam-beyer/6824,2019-06-24,1.99
"Lies, Deception, And Fantasy",Original Mix,Tech House,Chris Lake,https:/www.beatport.com/artist/chris-lake/7179,2019-06-28,1.99
Vibrancy,Original Mix,Techno,UMEK,https:/www.beatport.com/artist/umek/4177,2019-05-31,1.99
Feelin' Good,Original Mix,House,Laurent Garnier,https:/www.beatport.com/artist/laurent-garnier/8501,2019-07-12,2.49
Return to Oz,Artbat Remix,Melodic House & Techno,Monolink,https:/www.beatport.com/artist/monolink/406814,2019-05-17,1.49
Fury's Laughter,Original Mix,Deep House,S.A.M.,https:/www.beatport.com/artist/s-a-m/15554,2019-06-17,1.99
Snake,Original Mix,Tech House,PAX,https:/www.beatport.com/artist/pax/10484,2019-06-07,1.99
Ballers,Original Mix,Tech House,DJ S.K.T,https:/www.beatport.com/artist/dj-s-k-t/212663,2019-04-26,1.49
Data Point,Original Mix,Techno,Adam Beyer,https:/www.beatport.com/artist/adam-beyer/6824,2019-06-24,1.99
More Luv,Original Mix,Minimal / Deep Tech,Rossi.,https:/www.beatport.com/artist/rossi/723794,2019-07-05,2.49
Acumulee,Original Mix,Melodic House & Techno,Super Flu,https:/www.beatport.com/artist/super-flu/17319,2019-06-21,1.99
The House Of House,Thomas Schumacher Remix,Techno,Cherrymoon Trax,https:/www.beatport.com/artist/cherrymoon-trax/11256,2019-06-14,1.99
Promised,Raxon Remix,Melodic House & Techno,Pig&Dan,https:/www.beatport.com/artist/pig-and-dan/5235,2019-07-08,2.49
Get A Funk,Extended Mix,Tech House,Mendo,https:/www.beatport.com/artist/mendo/4560,2019-07-05,2.49
Comments,Original Mix,Tech House,Claude VonStroke,https:/www.beatport.com/artist/claude-vonstroke/5430,2019-06-28,1.99
SOL,Extended Mix,Tech House,KC Lights,https:/www.beatport.com/artist/kc-lights/347044,2019-06-07,1.99
Be Someone,Extended Mix,Progressive House,CamelPhat,https:/www.beatport.com/artist/camelphat/150756,2019-06-04,1.99
Music Is the Answer,Original Mix,House,Mike Vale,https:/www.beatport.com/artist/mike-vale/35397,2019-04-05,1.49
In My Arms,Qubiko Extended Remix,House,Robosonic,https:/www.beatport.com/artist/robosonic/26797,2019-06-21,1.99
Enkidu,Adam Port's Tulum by Night Edit,Indie Dance / Nu Disco,Simple Symmetry,https:/www.beatport.com/artist/simple-symmetry/159151,2019-07-05,1.99
Whatudo,Original Mix,Deep House,Chris Stussy,https:/www.beatport.com/artist/chris-stussy/374024,2019-07-05,1.99
Venere,Fideles Remix,Melodic House & Techno,BOg,https:/www.beatport.com/artist/bog/102210,2019-07-08,2.49
You're Not Alone,Club Mix,Tech House,Joshwa (UK),https:/www.beatport.com/artist/joshwa-uk/587859,2019-07-05,2.49
Tell Me Are We,Original Mix,Melodic House & Techno,WhoMadeWho,https:/www.beatport.com/artist/whomadewho/10688,2019-05-31,1.99
No Dancers,Adam Port Remix,Melodic House & Techno,Cubicolor,https:/www.beatport.com/artist/cubicolor/404175,2019-06-18,1.99
Black Day,Adam Beyer Remix,Techno,Monolink,https:/www.beatport.com/artist/monolink/406814,2019-07-05,1.99
Guess Who's Jack,Extended Mix,Tech House,Tube & Berger,https:/www.beatport.com/artist/tube-and-berger/36641,2019-06-21,2.49
Nata Alma,Club Smash Hit Version,Melodic House & Techno,Robag Wruhme,https:/www.beatport.com/artist/robag-wruhme/4097,2019-07-05,1.99
RAW,Original Mix,House,KiNK,https:/www.beatport.com/artist/kink/33298,2019-06-07,1.99
Work It,Soulwax Remix,Indie Dance / Nu Disco,Marie Davidson,https:/www.beatport.com/artist/marie-davidson/339220,2019-04-04,1.49
Work,Club Mix,Bass House,Denise,https:/www.beatport.com/artist/denise/187565,2019-07-12,1.99
Starry Night,Original Mix,Indie Dance / Nu Disco,Peggy Gou,https:/www.beatport.com/artist/peggy-gou/528008,2019-04-19,1.49
Anthem,Club Mix,House,Reza,https:/www.beatport.com/artist/reza/2124,2019-04-29,1.49
Hypnotized,Joyhauser Remix,Techno,Amelie Lens,https:/www.beatport.com/artist/amelie-lens/533826,2019-06-28,1.99
Pride (A Deeper Love),Original Mix,Tech House,Moreno Pezzolato,https:/www.beatport.com/artist/moreno-pezzolato/73031,2019-06-08,1.99
Gravity feat. Laura Korinth,Original Mix,Minimal / Deep Tech,Boris Brejcha,https:/www.beatport.com/artist/boris-brejcha/28795,2019-07-12,1.99
